lat_idx,lon_idx,lat,lon,EPHI_p1,EPHI_p2,EPHI_change,EPHI_change_pct
13,204,51.75,121.0,0.17448339717222663,0.18297703239322086,0.008493635220994222,4.867875888850584
13,205,51.75,121.25,0.19976001077646122,0.20786439232638465,0.008104381549923434,4.0570590271906495
13,206,51.75,121.5,0.20565935390335596,0.21432545539805622,0.008666101494700262,4.213813439661326
13,207,51.75,121.75,0.18585349832410875,0.19051438322311423,0.004660884899005485,2.5078273699628713
13,208,51.75,122.0,0.1963922460061076,0.1981439286080868,0.0017516826019791931,0.8919306324979438
13,209,51.75,122.25,0.19359348269585305,0.19097266932985196,-0.00262081336600109,-1.3537714852304945
13,210,51.75,122.5,0.19931817007498087,0.19192945998933522,-0.00738871008564565,-3.70699273571803
13,211,51.75,122.75,0.20401968166320522,0.1974362738305412,-0.006583407832664034,-3.226849379920068
13,212,51.75,123.0,0.20789418533000298,0.20326396208439187,-0.004630223245611104,-2.227201899976794
13,213,51.75,123.25,0.21320654658592647,0.21311923410678446,-8.73124791420099e-05,-0.04095206293622004
13,214,51.75,123.5,0.19790592267543225,0.1997051830653845,0.001799260389952262,0.9091493400645051
13,215,51.75,123.75,0.1904720179072062,0.19449699858250719,0.004024980675300993,2.113161145413956
13,216,51.75,124.0,0.19506476803811607,0.1977971089135977,0.0027323408754816314,1.4007352034723801
13,217,51.75,124.25,0.19163757598003625,0.19330523225443688,0.0016676562744006307,0.8702136133126407
13,218,51.75,124.5,0.1935882555363246,0.19549890905285564,0.0019106535165310246,0.986967681090815
13,219,51.75,124.75,0.2082089322215418,0.2130611419092752,0.004852209687733394,2.330452222179627
13,220,51.75,125.0,0.2118796889997872,0.21930366826066122,0.007423979260874014,3.5038654700316605
13,221,51.75,125.25,0.22337087988944063,0.22988358782030072,0.00651270793086009,2.915647703981652
13,222,51.75,125.5,0.2164743169758566,0.2182647844497449,0.0017904674738883075,0.8271038795276572
13,223,51.75,125.75,0.21084674649290447,0.2063552398724927,-0.004491506620411756,-2.1302233471090846
13,224,51.75,126.0,0.19851789556547597,0.19295709093879765,-0.005560804626678323,-2.8011603744027376
13,225,51.75,126.25,0.1933478301790592,0.19204098698472574,-0.001306843194333468,-0.6759026947047722
13,226,51.75,126.5,0.18484724191334231,0.1812958207465589,-0.0035514211667834195,-1.921273549998842
14,200,51.5,120.0,0.19062544928697228,0.1908828118431218,0.0002573625561495263,0.13500954731500006
14,201,51.5,120.25,0.17867689489346328,0.17449522365738296,-0.00418167123608032,-2.340353652649749
14,202,51.5,120.5,0.17735016828785535,0.17536568944030856,-0.0019844788475467945,-1.118960791920877
14,203,51.5,120.75,0.1646476136923931,0.16838954762669334,0.0037419339343002234,2.2726924796439394
14,204,51.5,121.0,0.18039282009888824,0.1868765939487686,0.006483773849880359,3.594252723764763
14,205,51.5,121.25,0.1783467377455479,0.18675695590092553,0.008410218155377625,4.715655728660823
